iPhone se,5 000  ₽,Перово,19 февраля 08:11,https://www.avito.ru/moskva/telefony/iphone_se_1864791383
Коробка от iPhone 6,400  ₽,Семеновская,Вчера 13:53,https://www.avito.ru/moskva/telefony/korobka_ot_iphone_6_1887257127
iPhone 7 A1660 128 GB чёрный, б/у,7 000  ₽,Отрадное,20 февраля 18:08,https://www.avito.ru/moskva/telefony/iphone_7_a1660_128_gb_chernyy_bu_1862919795
Айфон Х 256gb,35 000  ₽,Ховрино,21 февраля 18:02,https://www.avito.ru/moskva/telefony/ayfon_h_256gb_1864706089
Телефон Apple iPhone 6s 64gb space grey,9 500  ₽,Митино,Вчера 22:26,https://www.avito.ru/moskva/telefony/telefon_apple_iphone_6s_64gb_space_grey_1885038056
iPhone 5 на запчасти,1 000  ₽,Улица Старокачаловская,18 февраля 14:04,https://www.avito.ru/moskva/telefony/iphone_5_na_zapchasti_1879670069
iPhone X 256 GB.(оригинал в идеальном состояние),28 000  ₽,Марксистская,20 февраля 17:22,https://www.avito.ru/moskva/telefony/iphone_x_256_gb.original_v_idealnom_sostoyanie_1854707530
iPhone 6S,9 500  ₽,Рязанский проспект,22 февраля 17:13,https://www.avito.ru/moskva/telefony/iphone_6s_1846279826
Apple iPhone XR 64GB,30 000  ₽,Кропоткинская,19 февраля 02:54,https://www.avito.ru/moskva/telefony/apple_iphone_xr_64gb_1874433932
iPhone 6,7 700  ₽,Улица 1905 года,22 февраля 13:37,https://www.avito.ru/moskva/telefony/iphone_6_1875924408
iPhone XR 64 gb белый Ростест,28 990  ₽,Маяковская,20 февраля 15:14,https://www.avito.ru/moskva/telefony/iphone_xr_64_gb_belyy_rostest_1871098175
Телефон iPhone 5s 32Gb,1 700  ₽,Коломенская,19 февраля 18:27,https://www.avito.ru/moskva/telefony/telefon_iphone_5s_32gb_1864898083
Телефон iPhone,13 000  ₽,Новопеределкино,18 февраля 19:11,https://www.avito.ru/moskva/telefony/telefon_iphone_1880640893
iPhone 7,11 490  ₽,Шаболовская,22 февраля 09:10,https://www.avito.ru/moskva/telefony/iphone_7_1873428562
iPhone 7 plus 128gb,16 000  ₽,Тверская,18 февраля 12:08,https://www.avito.ru/moskva/telefony/iphone_7_plus_128gb_1871553064
Чехол на айфон Х,200  ₽,Рязанский проспект,Вчера 13:23,https://www.avito.ru/moskva/telefony/chehol_na_ayfon_h_1605154240
Телефон iPhone,5 000  ₽,Нагорная,22 февраля 23:26,https://www.avito.ru/moskva/telefony/telefon_iphone_1875589336
iPhone 6S 128gb,6 500  ₽,Кузьминки,18 февраля 16:53,https://www.avito.ru/moskva/telefony/iphone_6s_128gb_1879096041
Телефон iPhone se 32 gb,7 000  ₽,Кузьминки,22 февраля 18:31,https://www.avito.ru/moskva/telefony/telefon_iphone_se_32_gb_1867439330
iPhone 5,1 500  ₽,Улица Старокачаловская,19 февраля 09:55,https://www.avito.ru/moskva/telefony/iphone_5_1828916495
iPhone 5c,3 200  ₽,Некрасовка,22 февраля 13:47,https://www.avito.ru/moskva/telefony/iphone_5c_1856959664
iPhone X 256Gb,30 000  ₽,Сходненская,16 февраля 20:35,https://www.avito.ru/moskva/telefony/iphone_x_256gb_1882606775
iPhone 6,4 999  ₽,Чкаловская,19 февраля 00:53,https://www.avito.ru/moskva/telefony/iphone_6_1869264475
iPhone xr 64,32 000  ₽,Медведково,17 февраля 14:09,https://www.avito.ru/moskva/telefony/iphone_xr_64_1857934543
iPhone 7,Цена не указана,Фили,22 февраля 11:01,https://www.avito.ru/moskva/telefony/iphone_7_1868822649
iPhone XS 64 gb,41 800  ₽,Савеловская,22 февраля 14:46,https://www.avito.ru/moskva/telefony/iphone_xs_64_gb_1853004783
iPhone XR Silver 128 Gb,35 900  ₽,Аннино,22 февраля 08:50,https://www.avito.ru/moskva/telefony/iphone_xr_silver_128_gb_1885392782
iPhone 7 Plus 128gb,22 000  ₽,Павелецкая,22 февраля 19:50,https://www.avito.ru/moskva/telefony/iphone_7_plus_128gb_1883949498
Телефон iPhone 7 128gb,12 000  ₽,Свиблово,19 февраля 22:38,https://www.avito.ru/moskva/telefony/telefon_iphone_7_128gb_1871770218
Apple iPhone 6,7 000  ₽,Щелковская,22 февраля 20:56,https://www.avito.ru/moskva/telefony/apple_iphone_6_1872344968
iPhone XS Max 512Gb Space Grey,35 000  ₽,Площадь революции,19 февраля 06:34,https://www.avito.ru/moskva/telefony/iphone_xs_max_512gb_space_grey_1883296627
Чехол для iPhone 11Pro,299  ₽,Семеновская,Сегодня 00:24,https://www.avito.ru/moskva/telefony/chehol_dlya_iphone_11pro_1845502601
