iPhone X 256Gb Silver Ростест,45 000  ₽,Зябликово,22 февраля 18:52,https://www.avito.ru/moskva/telefony/iphone_x_256gb_silver_rostest_1817224119
iPhone 8 Plus 64gb,30 000  ₽,Сокол,22 февраля 08:41,https://www.avito.ru/moskva/telefony/iphone_8_plus_64gb_1813977872
Телефон iPhone,6 500  ₽,Саларьево,18 февраля 16:57,https://www.avito.ru/moskva/telefony/telefon_iphone_1874480166
Apple iPhone 7+,16 000  ₽,Библиотека им. Ленина,21 февраля 17:28,https://www.avito.ru/moskva/telefony/apple_iphone_7_1873855756
iPhone X 64 г,39 000  ₽,Авиамоторная,21 февраля 18:08,https://www.avito.ru/moskva/telefony/iphone_x_64_g_1808678909
iPhone 6s,8 290  ₽,Савеловская,18 февраля 09:47,https://www.avito.ru/moskva/telefony/iphone_6s_1870113987
Телефон iPhone 11,55 000  ₽,Люблино,20 февраля 21:37,https://www.avito.ru/moskva/telefony/telefon_iphone_11_1862055699
Чехол для iPhone,100  ₽,Селигерская,Вчера 23:07,https://www.avito.ru/moskva/telefony/chehol_dlya_iphone_1553577135
Чехол iPhone 6+/6s+,500  ₽,Коломенская,20 февраля 21:18,https://www.avito.ru/moskva/telefony/chehol_iphone_66s_1873914438
iPhone Xs 64g gold EU,42 700  ₽,Багратионовская,17 февраля 20:46,https://www.avito.ru/moskva/telefony/iphone_xs_64g_gold_eu_1714670737
iPhone 6 рст 16GB,6 700  ₽,Лубянка,22 февраля 19:13,https://www.avito.ru/moskva/telefony/iphone_6_rst_16gb_1856210133
Наклейка Камера iPhone 11 для X XS XSmax чёрная,350  ₽,Коломенская,22 февраля 13:24,https://www.avito.ru/moskva/telefony/nakleyka_kamera_iphone_11_dlya_x_xs_xsmax_chernaya_1824871599
Apple iPhone SE,5 800  ₽,Медведково,19 февраля 20:48,https://www.avito.ru/moskva/telefony/apple_iphone_se_1831543143
Телефон iPhone 5s,5 000  ₽,Крылатское,22 февраля 11:24,https://www.avito.ru/moskva/telefony/telefon_iphone_5s_1870961920
iPhone 5,2 500  ₽,Ростокино,19 февраля 22:01,https://www.avito.ru/moskva/telefony/iphone_5_1864101335
iPhone 7+ (128gb),21 000  ₽,Алтуфьево,22 февраля 10:49,https://www.avito.ru/moskva/telefony/iphone_7_128gb_1886970117
Телефон iPhone 7s,13 000  ₽,Кантемировская,20 февраля 14:51,https://www.avito.ru/moskva/telefony/telefon_iphone_7s_1855637070
Телефон iPhone XR красный 256 гб,40 000  ₽,Кутузовская,18 февраля 15:41,https://www.avito.ru/moskva/telefony/telefon_iphone_xr_krasnyy_256_gb_1880114054
iPhone 8 Plus 256gb Медный идеал без ремонтов,26 500  ₽,Ленинский проспект,21 февраля 21:04,https://www.avito.ru/moskva/telefony/iphone_8_plus_256gb_mednyy_ideal_bez_remontov_1879825181
iPhone XS Max gold 256 gb,58 000  ₽,Мичуринский проспект,19 февраля 22:46,https://www.avito.ru/moskva/telefony/iphone_xs_max_gold_256_gb_1833346391
Лучшие дисплеи iPhone 5 AAA и оригинал,1 200  ₽,Рязанский проспект,Вчера 11:09,https://www.avito.ru/moskva/telefony/luchshie_displei_iphone_5_aaa_i_original_1564530319
iPhone 7 (32) Silver (идеальное состояние),18 000  ₽,Спортивная,22 февраля 12:43,https://www.avito.ru/moskva/telefony/iphone_7_32_silver_idealnoe_sostoyanie_1859775634
iPhone XS Max 512 Grey,61 870  ₽,Багратионовская,22 февраля 06:37,https://www.avito.ru/moskva/telefony/iphone_xs_max_512_grey_1874350881
iPhone 8 Plus,28 790  ₽,Тверская,22 февраля 13:47,https://www.avito.ru/moskva/telefony/iphone_8_plus_1880118797
iPhone 8 Plus,28 790  ₽,Тверская,22 февраля 13:38,https://www.avito.ru/moskva/telefony/iphone_8_plus_1880515383
iPhone 6s 16 gb (rose gold),7 900  ₽,Багратионовская,22 февраля 22:54,https://www.avito.ru/moskva/telefony/iphone_6s_16_gb_rose_gold_1813627599
iPhone XR,40 990  ₽,Багратионовская,20 февраля 17:03,https://www.avito.ru/moskva/telefony/iphone_xr_1432802764
iPhone 11 64 Gb Yellow,49 499  ₽,Новослободская,19 февраля 10:13,https://www.avito.ru/moskva/telefony/iphone_11_64_gb_yellow_1849225775
iPhone x 64 Гб. space gray,34 120  ₽,Боровицкая,Вчера 09:49,https://www.avito.ru/moskva/telefony/iphone_x_64_gb._space_gray_1865409922
Телефон iPhone 6s 32 gb,7 290  ₽,Марьино,18 февраля 23:55,https://www.avito.ru/moskva/telefony/telefon_iphone_6s_32_gb_1856388197
iPhone 7 Plus 128 Product Red,15 500  ₽,Пушкинская,17 февраля 17:00,https://www.avito.ru/moskva/telefony/iphone_7_plus_128_product_red_1859777304
