Прозрачные чехлы iPhone 11,250  ₽,Юго-Западная,Вчера 13:56,https://www.avito.ru/moskva/telefony/prozrachnye_chehly_iphone_11_1879767324
iPhone 11 Pro Max 64Gb Silver США,75 000  ₽,Багратионовская,21 февраля 08:49,https://www.avito.ru/moskva/telefony/iphone_11_pro_max_64gb_silver_ssha_1834572434
Айфон Х 64GB,30 000  ₽,Рязанский проспект,20 февраля 22:30,https://www.avito.ru/moskva/telefony/ayfon_h_64gb_1871702974
Телефон iPhone 8 256 GB,20 000  ₽,Крылатское,20 февраля 00:23,https://www.avito.ru/moskva/telefony/telefon_iphone_8_256_gb_1857191914
Защитное стекло iPhone 7+/8+,199  ₽,Электрозаводская,Сегодня 00:47,https://www.avito.ru/moskva/telefony/zaschitnoe_steklo_iphone_78_1844977167
Чехол для iPhone X Swarovski оригинал,4 000  ₽,Калужская,22 февраля 16:46,https://www.avito.ru/moskva/telefony/chehol_dlya_iphone_x_swarovski_original_1865903989
iPhone 7. 128gb,13 500  ₽,Театральная,20 февраля 12:01,https://www.avito.ru/moskva/telefony/iphone_7._128gb_1789974596
Продаю iPhone 7 32GB Gold,16 000  ₽,Охотный ряд,22 февраля 07:34,https://www.avito.ru/moskva/telefony/prodayu_iphone_7_32gb_gold_1878139173
iPhone 7 32gb gold,15 000  ₽,Теплый стан,21 февраля 14:51,https://www.avito.ru/moskva/telefony/iphone_7_32gb_gold_1847634071
Коробка от iPhone 7 Gold,300  ₽,Проспект Вернадского,Вчера 16:55,https://www.avito.ru/moskva/telefony/korobka_ot_iphone_7_gold_1765476978
iPhone XI PRo 64gb Silver,7 490  ₽,Рижская,18 февраля 15:22,https://www.avito.ru/moskva/telefony/iphone_xi_pro_64gb_silver_1878031336
iPhone 4s 16 gb,2 500  ₽,Театральная,22 февраля 21:56,https://www.avito.ru/moskva/telefony/iphone_4s_16_gb_1883414687
iPhone SE 32GB,6 000  ₽,Печатники,21 февраля 13:58,https://www.avito.ru/moskva/telefony/iphone_se_32gb_1820847418
Телефон iPhone,5 500  ₽,Трубная,18 февраля 10:03,https://www.avito.ru/moskva/telefony/telefon_iphone_1845795714
iPhone X,20 569  ₽,Площадь революции,22 февраля 13:51,https://www.avito.ru/moskva/telefony/iphone_x_1758208909
iPhone 7,Цена не указана,Фили,21 февраля 12:07,https://www.avito.ru/moskva/telefony/iphone_7_1804551188
iPhone X 64 black,27 000  ₽,Академическая,18 февраля 00:21,https://www.avito.ru/moskva/telefony/iphone_x_64_black_1881680753
iPhone Xr,Цена не указана,Фили,21 февраля 12:06,https://www.avito.ru/moskva/telefony/iphone_xr_1867945262
Телефон iPhone,500  ₽,Селигерская,18 февраля 14:29,https://www.avito.ru/moskva/telefony/telefon_iphone_1863345849
iPhone 11 pro max 256g новый,79 999  ₽,Партизанская,19 февраля 10:49,https://www.avito.ru/moskva/telefony/iphone_11_pro_max_256g_novyy_1870052581
Айфон se,7 900  ₽,Аннино,19 февраля 13:03,https://www.avito.ru/moskva/telefony/ayfon_se_1878455379
