iPhone 5,2 500  ₽,Текстильщики,21 февраля 16:24,https://www.avito.ru/moskva/telefony/iphone_5_1877925051
iPhone 7 32gb,15 000  ₽,Текстильщики,21 февраля 10:41,https://www.avito.ru/moskva/telefony/iphone_7_32gb_1882917619
iPhone 11 Pro Max 512Gb Green Австралия,95 500  ₽,Багратионовская,22 февраля 15:14,https://www.avito.ru/moskva/telefony/iphone_11_pro_max_512gb_green_avstraliya_1802890375
Телефон iPhone 7,12 000  ₽,Дмитровская,21 февраля 09:09,https://www.avito.ru/moskva/telefony/telefon_iphone_7_1884095261
iPhone 5 SE 16 gb,8 000  ₽,Борисово,22 февраля 00:14,https://www.avito.ru/moskva/telefony/iphone_5_se_16_gb_1836073310
iPhone 6s 64gb,12 000  ₽,Пролетарская,21 февраля 22:34,https://www.avito.ru/moskva/telefony/iphone_6s_64gb_926026045
iPhone X,24 000  ₽,Юго-Западная,20 февраля 20:47,https://www.avito.ru/moskva/telefony/iphone_x_1857420032
iPhone XS 64gb gold обмен/продажа,35 000  ₽,Новокосино,17 февраля 23:07,https://www.avito.ru/moskva/telefony/iphone_xs_64gb_gold_obmenprodazha_1864400950
iPhone 6,3 500  ₽,Люблино,20 февраля 13:04,https://www.avito.ru/moskva/telefony/iphone_6_1864430555
iPhone,Цена не указана,Фили,21 февраля 12:07,https://www.avito.ru/moskva/telefony/iphone_1836177551
iPhone 8 Память 64 Гб Как Новенький Золотистый,17 490  ₽,Лермонтовский проспект,Вчера 08:31,https://www.avito.ru/moskva/telefony/iphone_8_pamyat_64_gb_kak_novenkiy_zolotistyy_1875886925
iPhone XS 64 GB,30 000  ₽,Молодежная,20 февраля 20:59,https://www.avito.ru/moskva/telefony/iphone_xs_64_gb_1848192214
iPhone 8,18 990  ₽,Савеловская,22 февраля 16:32,https://www.avito.ru/moskva/telefony/iphone_8_1806080776
iPhone 8 64gb Gold,18 000  ₽,Комсомольская,Вчера 18:33,https://www.avito.ru/moskva/telefony/iphone_8_64gb_gold_1865260792
iPhone 6 (на запчасти),3 000  ₽,Авиамоторная,21 февраля 08:31,https://www.avito.ru/moskva/telefony/iphone_6_na_zapchasti_1881319995
iPhone 6s,6 000  ₽,Марксистская,20 февраля 12:02,https://www.avito.ru/moskva/telefony/iphone_6s_1885221063
Айфон 7 128 гб золотой,14 500  ₽,Технопарк,22 февраля 12:43,https://www.avito.ru/moskva/telefony/ayfon_7_128_gb_zolotoy_1874836159
Powerbank iPhone 6/6S,500  ₽,Петровский парк,22 февраля 16:00,https://www.avito.ru/moskva/telefony/powerbank_iphone_66s_919455749
Телефон iPhone 6 64gb,3 000  ₽,Бунинская аллея,20 февраля 18:57,https://www.avito.ru/moskva/telefony/telefon_iphone_6_64gb_1870099852
Продам iPhone 8 plus 64gb, состояние хорошее,20 500  ₽,Площадь революции,21 февраля 19:23,https://www.avito.ru/moskva/telefony/prodam_iphone_8_plus_64gb_sostoyanie_horoshee_1871411168
