Дисплей iPhone 6S plus с установкой,2 090  ₽,Римская,Вчера 20:18,https://www.avito.ru/moskva/telefony/displey_iphone_6s_plus_s_ustanovkoy_1440149737
iPhone 5 16GB,2 000  ₽,Октябрьское поле,19 февраля 18:18,https://www.avito.ru/moskva/telefony/iphone_5_16gb_1883628119
iPhone X 64gb идеал гарантия,28 000  ₽,Добрынинская,21 февраля 16:27,https://www.avito.ru/moskva/telefony/iphone_x_64gb_ideal_garantiya_1829882496
iPhone XS Max 256 Space Gray 2sim,65 000  ₽,Университет,Вчера 10:57,https://www.avito.ru/moskva/telefony/iphone_xs_max_256_space_gray_2sim_1816843385
Телефон iPhone 7plus 32gb,14 000  ₽,Новогиреево,21 февраля 17:42,https://www.avito.ru/moskva/telefony/telefon_iphone_7plus_32gb_1882531697
iPhone 7(32) розовое -золото,12 000  ₽,Юго-Западная,20 февраля 12:06,https://www.avito.ru/moskva/telefony/iphone_732_rozovoe_-zoloto_1846488143
iPhone 8 Plus,Цена не указана,Фили,22 февраля 10:59,https://www.avito.ru/moskva/telefony/iphone_8_plus_1804889256
Реф iPhone 8 Plus 64gb,15 000  ₽,Тропарево,20 февраля 21:32,https://www.avito.ru/moskva/telefony/ref_iphone_8_plus_64gb_1861350666
Чехлы для iPhone XS iPhone X,150  ₽,Лубянка,18 февраля 23:47,https://www.avito.ru/moskva/telefony/chehly_dlya_iphone_xs_iphone_x_1833201420
iPhone XS Max 256 GB,5 999  ₽,Мичуринский проспект,19 февраля 20:15,https://www.avito.ru/moskva/telefony/iphone_xs_max_256_gb_1858246518
iPhone 8,20 600  ₽,Братиславская,22 февраля 10:29,https://www.avito.ru/moskva/telefony/iphone_8_1875189749
iPhone 6 32Gb,5 500  ₽,Юго-Западная,19 февраля 13:12,https://www.avito.ru/moskva/telefony/iphone_6_32gb_1885371710
Айфон iPhone 6s pluse 32 gb чехлы в подарок,15 000  ₽,Кузьминки,16 февраля 08:32,https://www.avito.ru/moskva/telefony/ayfon_iphone_6s_pluse_32_gb_chehly_v_podarok_1832122611
