iPhone 7,12 900  ₽,Охотный ряд,22 февраля 19:42,https://www.avito.ru/moskva/telefony/iphone_7_1885287851
Телефон iPhone 6s 32gb,10 000  ₽,Киевская,Вчера 13:57,https://www.avito.ru/moskva/telefony/telefon_iphone_6s_32gb_1879958869
iPhone 4s,2 500  ₽,ВДНХ,Вчера 16:30,https://www.avito.ru/moskva/telefony/iphone_4s_1807212165
Чехол iPhone XR,499  ₽,Электрозаводская,Сегодня 00:25,https://www.avito.ru/moskva/telefony/chehol_iphone_xr_1845063945
iPhone 6s Gold 128 GB,15 000  ₽,Минская,Вчера 14:09,https://www.avito.ru/moskva/telefony/iphone_6s_gold_128_gb_1843083966
Айфон 10 256 Гб (iPhone X) состояние нового,42 000  ₽,Проспект Вернадского,18 февраля 12:23,https://www.avito.ru/moskva/telefony/ayfon_10_256_gb_iphone_x_sostoyanie_novogo_1885837983
Телефон iPhone 5, 64 gb,3 000  ₽,Фонвизинская,22 февраля 11:34,https://www.avito.ru/moskva/telefony/telefon_iphone_5_64_gb_1871452721
iPhone,12 000  ₽,Ломоносовский проспект,21 февраля 10:11,https://www.avito.ru/moskva/telefony/iphone_1777995997
iPhone 6 16GB,6 000  ₽,Достоевская,Вчера 18:29,https://www.avito.ru/moskva/telefony/iphone_6_16gb_1867017607
Телефон iPhone X 256 gb,29 500  ₽,Автозаводская,22 февраля 12:16,https://www.avito.ru/moskva/telefony/telefon_iphone_x_256_gb_1857764558
Продам iPhone 7,15 000  ₽,Молодежная,22 февраля 09:10,https://www.avito.ru/moskva/telefony/prodam_iphone_7_1881219641
iPhone 6 Plus 64 Обмен Велосипед/Планшет,12 000  ₽,Свиблово,22 февраля 14:05,https://www.avito.ru/moskva/telefony/iphone_6_plus_64_obmen_velosipedplanshet_1258377997
iPhone X,32 000  ₽,Шипиловская,22 февраля 00:25,https://www.avito.ru/moskva/telefony/iphone_x_1868373318
iPhone 7 Plus,20 500  ₽,Нижегородская,Вчера 16:38,https://www.avito.ru/moskva/telefony/iphone_7_plus_1887243353
