iPhone XS 64GB Б/У,35 000  ₽,Пражская,21 февраля 20:34,https://www.avito.ru/moskva/telefony/iphone_xs_64gb_bu_1879671621
iPhone Xs 64 Space Grey,35 000  ₽,Славянский бульвар,21 февраля 19:31,https://www.avito.ru/moskva/telefony/iphone_xs_64_space_grey_1885086051
iPhone 6,6 800  ₽,Савеловская,21 февраля 10:37,https://www.avito.ru/moskva/telefony/iphone_6_1877751131
iPhone 7 Plus 128gb Red,14 000  ₽,Улица 1905 года,22 февраля 00:35,https://www.avito.ru/moskva/telefony/iphone_7_plus_128gb_red_1856961777
iPhone 7 128Gb jet black,11 000  ₽,Теплый стан,21 февраля 17:48,https://www.avito.ru/moskva/telefony/iphone_7_128gb_jet_black_1869386912
Телефон iPhone,28 000  ₽,Рязанский проспект,22 февраля 12:11,https://www.avito.ru/moskva/telefony/telefon_iphone_1873007385
iPhone 6 gold 16gb RU,4 500  ₽,Римская,21 февраля 17:11,https://www.avito.ru/moskva/telefony/iphone_6_gold_16gb_ru_1868051384
iPhone 7 32gb чёрный новый,12 000  ₽,Авиамоторная,21 февраля 12:53,https://www.avito.ru/moskva/telefony/iphone_7_32gb_chernyy_novyy_1872621372
iPhone 5 и iPhone 4,1 700  ₽,Бульвар Рокоссовского,15 февраля 07:55,https://www.avito.ru/moskva/telefony/iphone_5_i_iphone_4_1366703300
iPhone XS Max 64gb Золотой,60 000  ₽,Молодежная,22 февраля 19:54,https://www.avito.ru/moskva/telefony/iphone_xs_max_64gb_zolotoy_1878315042
iPhone 7 Matte Black 128 GB,25 000  ₽,Измайловская,Вчера 16:43,https://www.avito.ru/moskva/telefony/iphone_7_matte_black_128_gb_1869351806
Продам iPhone 8 Plus 64 на восстанавл.или запчасти,6 000  ₽,Юго-Западная,22 февраля 14:14,https://www.avito.ru/moskva/telefony/prodam_iphone_8_plus_64_na_vosstanavl.ili_zapchasti_1859533505
