iPhone 11 64Gb(green) /iPhone 11 pro Max 256 Geen,48 699  ₽,Новослободская,3 февраля 09:37,https://www.avito.ru/moskva/telefony/iphone_11_64gbgreen_iphone_11_pro_max_256_geen_1881326950
iPhone 11 64,47 990  ₽,Багратионовская,22 февраля 12:07,https://www.avito.ru/moskva/telefony/iphone_11_64_1842599634
iPhone 5s 32gb,2 500  ₽,Саларьево,20 февраля 10:15,https://www.avito.ru/moskva/telefony/iphone_5s_32gb_1861844526
Телефон iPhone 6 plus,8 000  ₽,Охотный ряд,19 февраля 16:45,https://www.avito.ru/moskva/telefony/telefon_iphone_6_plus_1866112203
iPhone XS Max,45 000  ₽,Арбатская,19 февраля 20:16,https://www.avito.ru/moskva/telefony/iphone_xs_max_1880361814
iPhone 6 64Gb рст,8 000  ₽,Менделеевская,Вчера 09:12,https://www.avito.ru/moskva/telefony/iphone_6_64gb_rst_1845385085
Телефон iPhone,5 000  ₽,Южная,21 февраля 13:38,https://www.avito.ru/moskva/telefony/telefon_iphone_1883958601
Телефон iPhone 8,20 000  ₽,Александровский сад,21 февраля 14:49,https://www.avito.ru/moskva/telefony/telefon_iphone_8_1877668582
Телефон iPhone,4 690  ₽,Курская,22 февраля 11:52,https://www.avito.ru/moskva/telefony/telefon_iphone_1858175882
Айфон X 64гб sg на оф Гарантии,30 099  ₽,Тульская,20 февраля 17:42,https://www.avito.ru/moskva/telefony/ayfon_x_64gb_sg_na_of_garantii_1879693922
iPhone (X 64),29 000  ₽,Улица Старокачаловская,19 февраля 10:08,https://www.avito.ru/moskva/telefony/iphone_x_64_1855967706
iPhone 6 32gb space gray,7 500  ₽,Люблино,22 февраля 16:19,https://www.avito.ru/moskva/telefony/iphone_6_32gb_space_gray_1446552136
iPhone 8,17 790  ₽,Площадь революции,21 февраля 14:42,https://www.avito.ru/moskva/telefony/iphone_8_1758101628
iPhone 7 Plus,14 500  ₽,Парк Победы,18 февраля 16:46,https://www.avito.ru/moskva/telefony/iphone_7_plus_1868029872
Айфон 5s 16гб,4 000  ₽,Лермонтовский проспект,20 февраля 22:06,https://www.avito.ru/moskva/telefony/ayfon_5s_16gb_1881216464
Телефон iPhone Xs max,46 000  ₽,Марьино,19 февраля 13:32,https://www.avito.ru/moskva/telefony/telefon_iphone_xs_max_1867060533
Верхний динамик iPhone 6,50  ₽,Свиблово,Вчера 23:01,https://www.avito.ru/moskva/telefony/verhniy_dinamik_iphone_6_1884215475
