Обменяю iPhone 8 64gb Space Grey на iPhone X/XR,20 000  ₽,Проспект Мира,17 февраля 17:41,https://www.avito.ru/moskva/telefony/obmenyayu_iphone_8_64gb_space_grey_na_iphone_xxr_1869477710
Чехол iPhone 6,100  ₽,Нагорная,Вчера 22:49,https://www.avito.ru/moskva/telefony/chehol_iphone_6_918169651
Телефон iPhone XS Max 256 GB,45 900  ₽,Бутырская,Вчера 19:49,https://www.avito.ru/moskva/telefony/telefon_iphone_xs_max_256_gb_1873771479
iPhone XS Max,39 500  ₽,Новогиреево,20 февраля 14:27,https://www.avito.ru/moskva/telefony/iphone_xs_max_1862003783
Коробка от iPhone XS Max 256,1 000  ₽,Митино,Вчера 21:52,https://www.avito.ru/moskva/telefony/korobka_ot_iphone_xs_max_256_1862892186
Телефон iPhone 8 Plus,29 000  ₽,Шоссе Энтузиастов,22 февраля 13:37,https://www.avito.ru/moskva/telefony/telefon_iphone_8_plus_1887926877
Дисплей для iPhone 7 (4.7) TianMa черный качество,1 100  ₽,Царицыно,Вчера 11:48,https://www.avito.ru/moskva/telefony/displey_dlya_iphone_7_4.7_tianma_chernyy_kachestvo_1615015997
iPhone 7 Black 32GB,11 500  ₽,Новые Черемушки,19 февраля 21:54,https://www.avito.ru/moskva/telefony/iphone_7_black_32gb_1882968485
Красный iPhone 7 - 128гб,14 000  ₽,Преображенская площадь,22 февраля 18:40,https://www.avito.ru/moskva/telefony/krasnyy_iphone_7_-_128gb_1875068955
iPhone 7 plus на зап.части,4 500  ₽,Трубная,19 февраля 17:23,https://www.avito.ru/moskva/telefony/iphone_7_plus_na_zap.chasti_1878278547
Айфон чехлы 6s/7/8/7+/8+/x/xs/xr/11pro/11promax,200  ₽,Свиблово,Вчера 21:09,https://www.avito.ru/moskva/telefony/ayfon_chehly_6s7878xxsxr11pro11promax_1862087136
Телефон iPhone,10 500  ₽,Охотный ряд,21 февраля 13:37,https://www.avito.ru/moskva/telefony/telefon_iphone_1858941352
iPhone 8 plus,23 000  ₽,Савеловская,21 февраля 10:02,https://www.avito.ru/moskva/telefony/iphone_8_plus_1877360860
iPhone 5s 32,3 500  ₽,Воробьевы Горы,19 февраля 22:48,https://www.avito.ru/moskva/telefony/iphone_5s_32_1854937680
Телефон Айфон Х,28 000  ₽,Алтуфьево,21 февраля 14:02,https://www.avito.ru/moskva/telefony/telefon_ayfon_h_1861244596
Iphone7 plus black128,15 000  ₽,Соколиная гора,20 февраля 20:04,https://www.avito.ru/moskva/telefony/iphone7_plus_black128_1863301914
Телефон iPhone 5 32 g,1 500  ₽,Бульвар Дмитрия Донского,20 февраля 13:34,https://www.avito.ru/moskva/telefony/telefon_iphone_5_32_g_1847203752
iPhone X 256gb,30 000  ₽,Новые Черемушки,21 февраля 21:31,https://www.avito.ru/moskva/telefony/iphone_x_256gb_1874530889
iPhone 6 gold 32gb,7 000  ₽,Новогиреево,21 февраля 10:26,https://www.avito.ru/moskva/telefony/iphone_6_gold_32gb_1801293111
Apple iPhone 7 32GB,12 500  ₽,Тверская,Вчера 09:18,https://www.avito.ru/moskva/telefony/apple_iphone_7_32gb_1859056253
iPhone 6,6 000  ₽,Калужская,21 февраля 15:46,https://www.avito.ru/moskva/telefony/iphone_6_1839531190
iPhone xr 64gb,29 500  ₽,Савеловская,21 февраля 11:07,https://www.avito.ru/moskva/telefony/iphone_xr_64gb_1866005975
iPhone 11 128gb белый,49 990  ₽,Киевская,19 февраля 14:15,https://www.avito.ru/moskva/telefony/iphone_11_128gb_belyy_1875629739
Айфон X 64GB,27 500  ₽,Тушинская,18 февраля 08:58,https://www.avito.ru/moskva/telefony/ayfon_x_64gb_1873764192
iPhone 11 Pro Max 512Gb Grey JP,95 000  ₽,Багратионовская,22 февраля 15:08,https://www.avito.ru/moskva/telefony/iphone_11_pro_max_512gb_grey_jp_1834530841
Телефон iPhone 6 64Gb,5 000  ₽,Алтуфьево,18 февраля 21:22,https://www.avito.ru/moskva/telefony/telefon_iphone_6_64gb_1858792779
iPhone 8 plus,23 500  ₽,Савеловская,22 февраля 23:20,https://www.avito.ru/moskva/telefony/iphone_8_plus_1877924714
iPhone 7,5 000  ₽,Кантемировская,19 февраля 19:20,https://www.avito.ru/moskva/telefony/iphone_7_1860654301
iPhone 7plus 32,15 000  ₽,Крымская,19 февраля 15:52,https://www.avito.ru/moskva/telefony/iphone_7plus_32_1881662986
iPhone XS,33 750  ₽,Площадь революции,22 февраля 13:44,https://www.avito.ru/moskva/telefony/iphone_xs_1758268074
iPhone 11,50 990  ₽,Тверская,20 февраля 14:37,https://www.avito.ru/moskva/telefony/iphone_11_1880125524
iPhone XR 64gb,20 500  ₽,Охотный ряд,20 февраля 00:08,https://www.avito.ru/moskva/telefony/iphone_xr_64gb_1887544832
iPhone X,22 890  ₽,Пушкинская,19 февраля 13:48,https://www.avito.ru/moskva/telefony/iphone_x_1880636821
iPhone 8,14 690  ₽,Новоясеневская,20 февраля 12:26,https://www.avito.ru/moskva/telefony/iphone_8_1887294138
Телефон Apple iPhone 7 (32Gb) Арт*116422,18 499  ₽,Каховская,Вчера 12:30,https://www.avito.ru/moskva/telefony/telefon_apple_iphone_7_32gb_art116422_1880282756
iPhone X 256,35 000  ₽,Павелецкая,21 февраля 18:47,https://www.avito.ru/moskva/telefony/iphone_x_256_1871211850
iPhone Xr 128Gb White (гарантия, чек),38 990  ₽,Петровский парк,Вчера 11:50,https://www.avito.ru/moskva/telefony/iphone_xr_128gb_white_garantiya_chek_1871860054
iPhone 6s 128gb,4 000  ₽,Бауманская,19 февраля 19:53,https://www.avito.ru/moskva/telefony/iphone_6s_128gb_1859122173
iPhone 7 Plus 32 GB Matte Black,20 390  ₽,Спортивная,Вчера 16:19,https://www.avito.ru/moskva/telefony/iphone_7_plus_32_gb_matte_black_1865671314
iPhone 6s 64 гб золотой,5 900  ₽,Сокол,19 февраля 17:29,https://www.avito.ru/moskva/telefony/iphone_6s_64_gb_zolotoy_1872049664
iPhone Xs 256gb Silver,37 000  ₽,Кузьминки,19 февраля 13:20,https://www.avito.ru/moskva/telefony/iphone_xs_256gb_silver_1877310090
iPhone X,35 000  ₽,Балтийская,22 февраля 14:34,https://www.avito.ru/moskva/telefony/iphone_x_1854424116
Телефон iPhone 6,5 000  ₽,Каширская,20 февраля 13:13,https://www.avito.ru/moskva/telefony/telefon_iphone_6_1875796435
Реф iPhone 8 Plus 64gb,15 000  ₽,Тропарево,20 февраля 21:32,https://www.avito.ru/moskva/telefony/ref_iphone_8_plus_64gb_1861350666
iPhone xs max,38 990  ₽,Савеловская,21 февраля 10:47,https://www.avito.ru/moskva/telefony/iphone_xs_max_1877688789
iPhone 6 Plus 64gb,7 000  ₽,Алтуфьево,20 февраля 18:57,https://www.avito.ru/moskva/telefony/iphone_6_plus_64gb_1870166058
iPhone 8 Plus Red 64 гб,25 000  ₽,Охотный ряд,20 февраля 20:18,https://www.avito.ru/moskva/telefony/iphone_8_plus_red_64_gb_1882799041
Телефон iPhone,15 000  ₽,Выхино,19 февраля 12:09,https://www.avito.ru/moskva/telefony/telefon_iphone_1887534128
iPhone 7 black matte,12 000  ₽,Парк Победы,21 февраля 12:56,https://www.avito.ru/moskva/telefony/iphone_7_black_matte_1884868148
iPhone 6s 16gb Space Gray A1688 mkqj2B/A,4 500  ₽,Пролетарская,20 февраля 15:08,https://www.avito.ru/moskva/telefony/iphone_6s_16gb_space_gray_a1688_mkqj2ba_1857773109
