iPhone 3 gs,5 000  ₽,Ростокино,Вчера 20:24,https://www.avito.ru/moskva/telefony/iphone_3_gs_1865668143
Телефон iPhone 7 новый,15 200  ₽,Тульская,Вчера 22:29,https://www.avito.ru/moskva/telefony/telefon_iphone_7_novyy_1863105000
iPhone 7 Jet Black 32 GB,10 990  ₽,Дмитровская,21 февраля 16:58,https://www.avito.ru/moskva/telefony/iphone_7_jet_black_32_gb_1857491703
iPhone XR,46 500  ₽,Владыкино,22 февраля 13:24,https://www.avito.ru/moskva/telefony/iphone_xr_1854583406
iPhone 7 рст 32g,10 000  ₽,Октябрьская,21 февраля 14:20,https://www.avito.ru/moskva/telefony/iphone_7_rst_32g_1844652591
Телефон iPhone,10 000  ₽,Щелковская,Вчера 20:41,https://www.avito.ru/moskva/telefony/telefon_iphone_1871550971
Новый iPhone SE 32GB/Не активирован/Оригинал/Обмен,12 990  ₽,Курская,21 февраля 13:42,https://www.avito.ru/moskva/telefony/novyy_iphone_se_32gbne_aktivirovanoriginalobmen_1864301788
Айфон 10,14 990  ₽,Преображенская площадь,21 февраля 12:43,https://www.avito.ru/moskva/telefony/ayfon_10_1867090373
iPhone 7 32gb gold,12 000  ₽,Охотный ряд,21 февраля 23:17,https://www.avito.ru/moskva/telefony/iphone_7_32gb_gold_1860181547
iPhone 5 16Gb Black матовый идеал,2 400  ₽,Тульская,21 февраля 13:32,https://www.avito.ru/moskva/telefony/iphone_5_16gb_black_matovyy_ideal_1857699930
iPhone 7 32g семь айфон розовый rose,12 400  ₽,Строгино,18 февраля 12:49,https://www.avito.ru/moskva/telefony/iphone_7_32g_sem_ayfon_rozovyy_rose_1849583749
Новый iPhone 6S 128Gb в идеальном состоянии Ростес,9 000  ₽,Площадь революции,22 февраля 09:44,https://www.avito.ru/moskva/telefony/novyy_iphone_6s_128gb_v_idealnom_sostoyanii_rostes_1867232303
iPhone 11 Pro,70 890  ₽,Тверская,22 февраля 08:43,https://www.avito.ru/moskva/telefony/iphone_11_pro_1880498165
