iPhone 4s,3 000  ₽,Дмитровская,Вчера 00:26,https://www.avito.ru/moskva/telefony/iphone_4s_1862919149
Корпус и плата iPhone 8,3 200  ₽,Пражская,22 февраля 09:20,https://www.avito.ru/moskva/telefony/korpus_i_plata_iphone_8_1834611440
iPhone 8,23 000  ₽,Нагорная,19 февраля 19:41,https://www.avito.ru/moskva/telefony/iphone_8_1882038644
Чехол для айфон 11,240  ₽,Коньково,Вчера 23:08,https://www.avito.ru/moskva/telefony/chehol_dlya_ayfon_11_1884085699
iPhone чехол аккумулятор,1 000  ₽,Выхино,Вчера 13:20,https://www.avito.ru/moskva/telefony/iphone_chehol_akkumulyator_1865323267
iPhone XS Max,41 200  ₽,Хорошевская,22 февраля 10:28,https://www.avito.ru/moskva/telefony/iphone_xs_max_1875420922
iPhone 6s,6 500  ₽,Щелковская,19 февраля 09:40,https://www.avito.ru/moskva/telefony/iphone_6s_1863591756
Телефон iPhone,10 000  ₽,Охотный ряд,20 февраля 12:32,https://www.avito.ru/moskva/telefony/telefon_iphone_1863970932
iPhone 7 32gb black,16 000  ₽,Щелковская,Вчера 02:08,https://www.avito.ru/moskva/telefony/iphone_7_32gb_black_1871761707
Айфон iPhone 5s,5 880  ₽,,16 февраля 21:01,https://www.avito.ru/moskva_zelenograd/telefony/ayfon_iphone_5s_1882091607?slocation=637640
iPhone 7 Plus, Черный мат, 128 Gb, Ростест, Идеал,20 000  ₽,Водный стадион,19 февраля 23:16,https://www.avito.ru/moskva/telefony/iphone_7_plus_chernyy_mat_128_gb_rostest_ideal_1872326716
iPhone 6S,8 500  ₽,Киевская,Вчера 11:08,https://www.avito.ru/moskva/telefony/iphone_6s_1805865477
iPhone 6 Plus,8 000  ₽,Смоленская,21 февраля 11:59,https://www.avito.ru/moskva/telefony/iphone_6_plus_1864033116
iPhone se,7 000  ₽,Савеловская,22 февраля 22:39,https://www.avito.ru/moskva/telefony/iphone_se_1877407606
Телефон iPhone 6S 64gb,7 600  ₽,Беговая,19 февраля 20:58,https://www.avito.ru/moskva/telefony/telefon_iphone_6s_64gb_1865979900
iPhone 6s 32 gb,10 000  ₽,,22 февраля 19:06,https://www.avito.ru/moskva/telefony/iphone_6s_32_gb_1879283268
iPhone XR 256gb синий коробка зарядка,33 000  ₽,Ленинский проспект,22 февраля 21:20,https://www.avito.ru/moskva/telefony/iphone_xr_256gb_siniy_korobka_zaryadka_1879230425
Плата айфон xs 64 gb,5 000  ₽,,22 февраля 17:35,https://www.avito.ru/moskva_zelenograd/telefony/plata_ayfon_xs_64_gb_1875338804?slocation=637640
Телефон iPhone,17 000  ₽,Митино,20 февраля 13:20,https://www.avito.ru/moskva/telefony/telefon_iphone_1876613096
Чехол для iPhone 6/7/8,100  ₽,Измайловская,Вчера 21:20,https://www.avito.ru/moskva/telefony/chehol_dlya_iphone_678_1857787082
