iPhone 7+ 128 Гб,14 000  ₽,Дмитровская,Вчера 12:07,https://www.avito.ru/moskva/telefony/iphone_7_128_gb_1838181893
iPhone 5S (64Gb), Gold,7 100  ₽,Стрешнево,Вчера 14:03,https://www.avito.ru/moskva/telefony/iphone_5s_64gb_gold_1875473963
iPhone 7 Plus 32 Gb. черный,20 390  ₽,Новокузнецкая,Вчера 10:38,https://www.avito.ru/moskva/telefony/iphone_7_plus_32_gb._chernyy_1865830135
Телефон iPhone 5 32gb,1 500  ₽,Маяковская,Вчера 23:54,https://www.avito.ru/moskva/telefony/telefon_iphone_5_32gb_1865306781
iPhone 8 64,22 000  ₽,Павелецкая,Вчера 16:00,https://www.avito.ru/moskva/telefony/iphone_8_64_1562378673
iPhone 7,13 000  ₽,Проспект Вернадского,Вчера 15:50,https://www.avito.ru/moskva/telefony/iphone_7_1867342261
Телефон iPhone 7 128gb,15 000  ₽,Перово,Вчера 11:54,https://www.avito.ru/moskva/telefony/telefon_iphone_7_128gb_1866967528
iPhone 5s 16gb,3 500  ₽,Новые Черемушки,Вчера 13:35,https://www.avito.ru/moskva/telefony/iphone_5s_16gb_1874610834
iPhone 5 16Gb,4 500  ₽,Багратионовская,Вчера 07:44,https://www.avito.ru/moskva/telefony/iphone_5_16gb_1863735278
iPhone 5, 16Gb,2 500  ₽,Кантемировская,22 февраля 03:59,https://www.avito.ru/moskva/telefony/iphone_5_16gb_1884683322
Apple iPhone 11 pro,70 000  ₽,Новопеределкино,Вчера 21:08,https://www.avito.ru/moskva/telefony/apple_iphone_11_pro_1884570218
iPhone 6 32 gb,9 900  ₽,Кантемировская,Вчера 11:04,https://www.avito.ru/moskva/telefony/iphone_6_32_gb_1869523405
iPhone 5 32 gb,8 500  ₽,Площадь революции,Вчера 21:43,https://www.avito.ru/moskva/telefony/iphone_5_32_gb_869910207
iPhone 7Plus 128 GB,20 000  ₽,Молодежная,Вчера 12:47,https://www.avito.ru/moskva/telefony/iphone_7plus_128_gb_1879601287
iPhone 5c 16gb,4 500  ₽,Сокол,Вчера 16:10,https://www.avito.ru/moskva/telefony/iphone_5c_16gb_1100842499
iPhone 8 plus,27 990  ₽,Шаболовская,Вчера 09:10,https://www.avito.ru/moskva/telefony/iphone_8_plus_1873458888
Телефон iPhone,23 000  ₽,Ясенево,Сегодня 02:38,https://www.avito.ru/moskva/telefony/telefon_iphone_1858301120
Телефон iPhone,25 000  ₽,Медведково,22 февраля 19:10,https://www.avito.ru/moskva/telefony/telefon_iphone_1862363549
iPhone 7 Plus Ростест 128,17 000  ₽,Селигерская,Вчера 13:20,https://www.avito.ru/moskva/telefony/iphone_7_plus_rostest_128_1880203251
iPhone XS Max,44 500  ₽,Воробьевы Горы,Вчера 11:44,https://www.avito.ru/moskva/telefony/iphone_xs_max_1772474082
Телефон iPhone 6s Plus,11 000  ₽,Коломенская,22 февраля 19:15,https://www.avito.ru/moskva/telefony/telefon_iphone_6s_plus_1867793474
iPhone XS отличный,39 500  ₽,Лубянка,21 февраля 15:20,https://www.avito.ru/moskva/telefony/iphone_xs_otlichnyy_1854164615
iPhone 11,50 490  ₽,Савеловская,Вчера 12:03,https://www.avito.ru/moskva/telefony/iphone_11_1838677818
Чехлы на iPhone 6S, iPhone 7, XS MAX,250  ₽,Речной вокзал,Вчера 00:19,https://www.avito.ru/moskva/telefony/chehly_na_iphone_6s_iphone_7_xs_max_1826182095
Телефон iPhone 6s,64gb,3 200  ₽,Волоколамская,20 февраля 18:26,https://www.avito.ru/moskva/telefony/telefon_iphone_6s64gb_1885793667
iPhone 7 32 гб,8 500  ₽,ВДНХ,21 февраля 18:30,https://www.avito.ru/moskva/telefony/iphone_7_32_gb_1233659932
iPhone 8,22 000  ₽,Перово,Вчера 14:45,https://www.avito.ru/moskva/telefony/iphone_8_1865853829
Продам iPhone 4 16g,8 000  ₽,Краснопресненская,Вчера 13:45,https://www.avito.ru/moskva/telefony/prodam_iphone_4_16g_708348098
iPhone 11 Pro,35 000  ₽,Охотный ряд,21 февраля 07:49,https://www.avito.ru/moskva/telefony/iphone_11_pro_1885728141
iPhone 6s,800  ₽,Лермонтовский проспект,21 февраля 02:09,https://www.avito.ru/moskva/telefony/iphone_6s_1848316474
iPhone 8 Plus 256Gb,26 000  ₽,Багратионовская,21 февраля 13:05,https://www.avito.ru/moskva/telefony/iphone_8_plus_256gb_1863885168
Телефон iPhone 8 64 GB,22 000  ₽,Жулебино,Вчера 11:09,https://www.avito.ru/moskva/telefony/telefon_iphone_8_64_gb_1865650229
iPhone XS MAX,35 930  ₽,Театральная,22 февраля 13:45,https://www.avito.ru/moskva/telefony/iphone_xs_max_1790875546
iPhone XR,31 990  ₽,Шаболовская,22 февраля 17:44,https://www.avito.ru/moskva/telefony/iphone_xr_1873754319
iPhone 7, 128 Гб,5 000  ₽,Международная,22 февраля 22:50,https://www.avito.ru/moskva/telefony/iphone_7_128_gb_1857108637
Телефон iPhone 7 32GB,9 000  ₽,Охотный ряд,22 февраля 02:16,https://www.avito.ru/moskva/telefony/telefon_iphone_7_32gb_1858128712
iPhone 6s Plus,8 100  ₽,Стрешнево,21 февраля 12:57,https://www.avito.ru/moskva/telefony/iphone_6s_plus_1871069600
iPhone 6s,10 000  ₽,Зябликово,Вчера 10:45,https://www.avito.ru/moskva/telefony/iphone_6s_1884430734
iPhone 7 Plus 32gb Ростест,14 500  ₽,Краснопресненская,21 февраля 13:42,https://www.avito.ru/moskva/telefony/iphone_7_plus_32gb_rostest_1883942536
iPhone 8 plus 64 gb,14 000  ₽,Площадь революции,21 февраля 12:30,https://www.avito.ru/moskva/telefony/iphone_8_plus_64_gb_1874287607
iPhone 6 plus 64gb,6 500  ₽,Сокол,21 февраля 00:32,https://www.avito.ru/moskva/telefony/iphone_6_plus_64gb_1856442095
iPhone 7 Plus 128 GB,15 000  ₽,Беляево,21 февраля 18:14,https://www.avito.ru/moskva/telefony/iphone_7_plus_128_gb_1880742942
Телефон iPhone 7,20 000  ₽,Войковская,Сегодня 00:52,https://www.avito.ru/moskva/telefony/telefon_iphone_7_1854900988
iPhone XR 64Gb RED,33 000  ₽,Выхино,22 февраля 19:38,https://www.avito.ru/moskva/telefony/iphone_xr_64gb_red_1861906618
iPhone 5S 64 Gb,4 500  ₽,Волгоградский проспект,Вчера 03:52,https://www.avito.ru/moskva/telefony/iphone_5s_64_gb_1868923045
Аккумулятор iPhone 5 / Оригинал,500  ₽,Бауманская,22 февраля 17:31,https://www.avito.ru/moskva/telefony/akkumulyator_iphone_5_original_810492659
iPhone 7 Plus новый 128gb,18 000  ₽,Бауманская,22 февраля 15:56,https://www.avito.ru/moskva/telefony/iphone_7_plus_novyy_128gb_1882315992
iPhone 11 Pro Max 256gb белый,82 000  ₽,Тропарево,22 февраля 11:21,https://www.avito.ru/moskva/telefony/iphone_11_pro_max_256gb_belyy_1884156529
iPhone 6s 32gb,6 000  ₽,Площадь революции,21 февраля 20:33,https://www.avito.ru/moskva/telefony/iphone_6s_32gb_1865605848
iPhone 5 32Gb,3 100  ₽,Планерная,Вчера 16:45,https://www.avito.ru/moskva/telefony/iphone_5_32gb_1880122485
